museum_id,name,url,location,city,latitude,longitude,image_url,image_alt,page
34195,Tartu Art House,https://muuseumikaart.ee/en/museums/tartu-art-house/,"Vanemuise 26, Tartu",Tartu,58.3753177,26.7209217,https://muuseumikaart.ee/wp-content/uploads/fly-images/34182/489433524_1231491702312142_48452872219319471_n-290x150-c.jpg,Jürgen Vainola,8
8814,Tori Horse Breeding Farm Museum,https://muuseumikaart.ee/en/museums/tori-horse-breeding-farm-museum/,"Pärnu mnt 8a, Tori, Pärnumaa",Tori,58.4808568,24.8108909,https://muuseumikaart.ee/wp-content/uploads/fly-images/16851/tori-2-1-290x150-c.png,tori-2,11
8827,Tallinn Museum of Orders of Knighthood,https://muuseumikaart.ee/en/museums/tallinn-museum-of-orders-of-knighthood/,"Kuninga 3, Tallinn",Tallinn,59.43600639999999,24.744905,https://muuseumikaart.ee/wp-content/uploads/fly-images/973/1b540b9a580ed4b17bff371925521425-290x150-c.jpg,,8
8853,The Red Tower,https://muuseumikaart.ee/en/museums/the-red-tower/,"Hommiku 11, Pärnu",Pärnu,58.3850512,24.5027794,https://muuseumikaart.ee/wp-content/uploads/fly-images/883/b5816971aa95f3c58f42adfc9c22c415-290x150-c.jpg,,10
8869,Estonian Police Museum,https://muuseumikaart.ee/en/museums/estonian-police-museum/,"Tallinna 3, Rakvere, Lääne-Virumaa",,59.39790269999999,26.3758964,https://muuseumikaart.ee/wp-content/uploads/fly-images/1062/408eab08f9ef4ae7290ef264f7a7e639-290x150-c.jpg,,3
8873,The People’s Museum of Tallinn,https://muuseumikaart.ee/en/museums/tallinn-peoples-museum/,"Pikk 29a, Tallinn",Tallinn,59.4389335,24.7461296,https://muuseumikaart.ee/wp-content/uploads/fly-images/21570/Naise_j6ud_MeeliKyttim-114-scaled-290x150-c.jpg,Naise_j6ud_MeeliKyttim (114),10
8890,Contemporary Art Museum of Estonia,https://muuseumikaart.ee/en/museums/contemporary-art-museum-of-estonia/,"Kursi 5, Tallinn",Tallinn,59.445043,24.7512944,https://muuseumikaart.ee/wp-content/uploads/fly-images/1109/e586764208532444df0cc01106d8d717-290x150-c.jpg,,2
8906,Estonian National Museum,https://muuseumikaart.ee/en/museums/estonian-national-museum/,"Muuseumi tee 2, Tartu",Tartu,58.3953848,26.7445477,https://muuseumikaart.ee/wp-content/uploads/fly-images/20357/ak0233-1-290x150-c.jpg,ak0233,3
8914,Computer Museum,https://muuseumikaart.ee/en/museums/computer-museum/,"Tuuliku tee 4c, Tallinn",Tallinn,59.41985620000001,24.6777753,https://muuseumikaart.ee/wp-content/uploads/fly-images/16381/NB_MAIN_PHOTO_-_author_ARVUTIMUUSEUM-scaled-290x150-c.jpg,NB_MAIN_PHOTO_-_author_ARVUTIMUUSEUM,2
8930,Amandus Adamson Studio Museum,https://muuseumikaart.ee/en/museums/amandus-adamson-studio-museum/,"A. Adamsoni 3, Paldiski",Paldiski,59.3498839,24.0608152,https://muuseumikaart.ee/wp-content/uploads/fly-images/6710/749e281d1266ec4ab5f7530ab0e88ecf-290x150-c.jpg,,2
